rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
1,11 Com,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>,Radial Velocity,1,326.03,1.29,4742,2.7,19,5/14/14,11 Com b,,,2007,3,110.62
2,11 UMi,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>,Radial Velocity,1,516.22,1.54,4340,1.8,24.08,5/14/14,11 UMi b,,,2009,3,119.47
3,14 And,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,185.84,0.83,4813,2.2,11,5/14/14,14 And b,,,2008,3,76.39
4,14 Her,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007ApJ...654..625W target=ref> Wittenmyer et al. 2007 </a>,Radial Velocity,1,1773.4,2.77,,,,5/14/14,14 Her b,,,2002,3,18.15
5,16 Cyg B,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,798.5,1.681,5674,0.99,,9/10/15,16 Cyg B b,,,1996,3,21.41
6,18 Del,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,993.3,2.6,4979,2.3,8.5,5/14/14,18 Del b,,,2008,3,73.1
7,1RXS J160929.1-210524,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...802...61L target=ref>Lachapelle et al. 2015</a>,Imaging,1,,330,4060,0.85,,4/1/15,1RXS J160929.1-210524 b,3000,,2008,3,145
8,24 Sex,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,452.8,1.333,5098,1.54,4.9,5/14/14,24 Sex b,,,2010,3,74.79
9,24 Sex,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>,Radial Velocity,2,883,2.08,5098,1.54,4.9,5/14/14,24 Sex c,,,2010,3,74.79
10,2MASS J01225093-2439505,b,1,<a href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>,Imaging,1,,52,3530,0.4,,5/14/14,2MASS J01225093-2439505 b,7786.5,,2013,3,36
11,2MASS J02192210-3925225,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>,Imaging,1,,156,3064,0.108,0.28,5/14/15,2MASS J02192210-3925225 b,4417.837,16.141,2015,3,39.4
12,2MASS J04414489+2301513,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>,Imaging,1,,15,,0.019,,5/14/14,2MASS J04414489+2301513 b,2383.6,,2010,3,140
13,2MASS J12073346-3932539,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...477L...1D target=ref> Ducourant et al. 2008 </a>,Imaging,1,,46,,,,5/14/14,2MASS J12073346-3932539 b,1271,,2004,3,52.4
14,2MASS J19383260+4603591,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...577A.146B target=ref>Baran et al. 2015</a>,Eclipse Timing Variations,1,416,0.92,,0.48,,6/4/15,2MASS J19383260+4603591 b,603.877,,2015,3,
15,2MASS J21402931+1625183 A,b,1,<a href=http://adsabs.harvard.edu/abs/2010ApJ...711.1087K target=ref> Konopacky et al. 2010 </a>,Imaging,1,7336.5,,2300,0.08,0.12,5/14/14,2MASS J21402931+1625183 A b,6657.48,10.31,2009,3,25
16,2MASS J22362452+4751425,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv161100364B target=ref>Bowler et al. 2016</a>,Imaging,1,,230,4045,0.6,,11/10/16,2MASS J22362452+4751425 b,3972.875,,2016,3,74
17,30 Ari B,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...507.1659G target=ref> Guenther et al. 2009 </a>,Radial Velocity,1,335.1,0.995,6300,1.16,1.13,5/14/14,30 Ari B b,,,2009,3,39.43
18,4 UMa,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..649D target=ref> Dollinger et al. 2007 </a>,Radial Velocity,1,269.3,0.87,4415,1.234,18.11,5/14/14,4 UMa b,,,2006,3,77.4
19,42 Dra,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...499..935D target=ref> Doellinger et al. 2009 </a>,Radial Velocity,1,479.1,1.19,4200,0.98,22.03,5/14/14,42 Dra b,,,2008,3,97.28
20,47 UMa,b,1,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Radial Velocity,3,1078,2.1,,,,5/14/14,47 UMa b,,,1996,3,14.08
21,47 UMa,c,1,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Radial Velocity,3,2391,3.6,,,,5/14/14,47 UMa c,,,2001,3,14.08
22,47 UMa,d,1,<a href=http://adsabs.harvard.edu/abs/2010MNRAS.403..731G target=ref> Gregory &amp; Fischer 2010 </a>,Radial Velocity,3,14002,11.6,,,,5/14/14,47 UMa d,,,2009,3,14.08
23,51 Eri,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015Sci...350...64M target=ref>Macintosh et al. 2015</a>,Imaging,1,,13.2,,1.75,,8/14/15,51 Eri b,635.66,,2015,3,29.4
24,51 Peg,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,4.230785,0.0527,,,,5/14/14,51 Peg b,,,1995,3,15.36
25,55 Cnc,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,Radial Velocity,5,14.65152,0.115227,,0.95,,10/29/14,55 Cnc b,263.9785,,1996,3,12.53
26,55 Cnc,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,Radial Velocity,5,44.4175,0.241376,,0.95,,10/29/14,55 Cnc c,54.4738,,2004,3,12.53
27,55 Cnc,d,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,Radial Velocity,5,4825,5.503,,0.95,,10/29/14,55 Cnc d,1232.493,,2002,3,12.53
28,55 Cnc,e,1,<a href=http://adsabs.harvard.edu/abs/2016Natur.532..207D target=ref>Demory et al. 2016</a>,Radial Velocity,5,0.736539,0.01544,,,,7/7/16,55 Cnc e,8.08,1.91,2004,3,12.53
29,55 Cnc,f,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015MNRAS.446.1493B target=ref>Baluev 2015</a>,Radial Velocity,5,262,0.788,,0.95,,10/29/14,55 Cnc f,44.812,,2007,3,12.53
30,6 Lyn,b,1,<a href=http://adsabs.harvard.edu/abs/2010ApJ...709..396B target=ref> Bowler et al. 2010 </a>,Radial Velocity,1,874.774,2.18,,1.82,5.2,9/3/15,6 Lyn b,,,2008,3,56.95
31,61 Vir,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Radial Velocity,3,4.215,0.050201,5577,0.942,0.96,5/14/14,61 Vir b,,,2009,3,8.52
32,61 Vir,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Radial Velocity,3,38.021,0.2175,5577,0.942,0.96,5/14/14,61 Vir c,,,2009,3,8.52
33,61 Vir,d,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...708.1366V target=ref> Vogt et al. 2010 </a>,Radial Velocity,3,123.01,0.476,5577,0.942,0.96,5/14/14,61 Vir d,,,2009,3,8.52
34,7 CMa,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151004343W target=ref>Wittenmyer et al. 2015</a>,Radial Velocity,1,796,1.93,,,,10/22/15,7 CMa b,,,2011,3,19.84
35,70 Vir,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806...60K target=ref>Kane et al. 2015</a>,Radial Velocity,1,116.6926,0.481,5439,1.09,1.94,4/24/15,70 Vir b,,,1996,3,18.11
36,75 Cet,b,1,<a href=http://adsabs.harvard.edu/abs/2012PASJ...64..135S target=ref> Sato et al. 2012 </a>,Radial Velocity,1,691.9,2.1,4846,2.49,10.5,9/3/15,75 Cet b,,,2012,3,81.5
37,8 UMi,b,1,<a href=http://adsabs.harvard.edu/abs/2015arXiv150909012L target=ref>Lee et al. 2015</a>,Radial Velocity,1,93.4,0.49,4847.4,1.8,9.9,10/15/15,8 UMi b,,,2015,3,159.1
38,81 Cet,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>,Radial Velocity,1,952.7,2.5,4785,2.4,11,5/14/14,81 Cet b,,,2008,3,97.18
39,91 Aqr,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...555A..87M target=ref> Mitchell et al. 2013 </a>,Radial Velocity,1,181.4,0.7,4665,1.4,11,5/14/14,91 Aqr b,,,2013,3,45.52
40,AB Pic,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2005A&A...438L..29C target=ref> Chauvin et al. 2005 </a>,Imaging,1,,260,,,,5/14/14,AB Pic b,4290.5,,2005,3,45.52
41,BD+03 2562,b,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170601278V target=ref>Villaver et al. 2017</a>,Radial Velocity,1,481.9,1.3,4095,1.14,32.35,6/15/17,BD+03 2562 b,,,2017,3,2618
42,BD+14 4559,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>,Radial Velocity,1,268.94,0.777,5008,0.86,0.95,5/14/14,BD+14 4559 b,,,2009,3,50.03
43,BD+15 2375,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016arXiv160106832N target=ref>Niedzielski et al. 2016</a>,Radial Velocity,1,153.22,0.576,4649,1.08,8.95,2/4/16,BD+15 2375 b,,,2016,3,774
44,BD+15 2940,b,1,<a href=http://adsabs.harvard.edu/abs/2013ApJ...770...53N target=ref> Nowak et al. 2013 </a>,Radial Velocity,1,137.48,0.539,4796,1.1,14.7,5/14/14,BD+15 2940 b,,,2013,3,175.44
45,BD+20 1790,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..66H target=ref>Hern&aacute;n-Obispo et al. 2015</a>,Radial Velocity,1,7.78287,0.066,,,,3/26/15,BD+20 1790 b,,,2010,3,25.4
46,BD+20 2457,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>,Radial Velocity,2,379.63,1.45,4137,2.8,49,5/14/14,BD+20 2457 b,,,2009,3,
47,BD+20 2457,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009ApJ...707..768N target=ref> Niedzielski et al. 2009 </a>,Radial Velocity,2,621.99,2.01,4137,2.8,49,5/14/14,BD+20 2457 c,,,2009,3,
48,BD+20 274,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...756...53G target=ref> Gettel et al. 2012 </a>,Radial Velocity,1,578.2,1.3,4296,0.8,17.3,9/18/15,BD+20 274 b,,,2012,3,
49,BD+20 594,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160107608E target=ref>Espinoza et al. 2016</a>,Transit,1,41.6855,0.241,5766,0.961,0.93,7/28/16,BD+20 594 b,16.3,2.23,2016,3,152.1
50,BD+48 738,b,1,<a href=http://adsabs.harvard.edu/abs/2012ApJ...745...28G target=ref> Gettel et al. 2012 </a>,Radial Velocity,1,392.6,1,4414,0.74,11,8/13/15,BD+48 738 b,,,2011,3,
51,BD+49 828,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...803....1N target=ref>Niedzielski et al. 2015</a>,Radial Velocity,1,2590,4.2,4943,1.52,7.6,2/5/15,BD+49 828 b,,,2015,3,
52,BD-06 1339,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>,Radial Velocity,2,3.8728,0.0428,4324,0.7,,5/14/14,BD-06 1339 b,,,2013,3,20.1
53,BD-06 1339,c,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...551A..59L target=ref> Lo Curto et al. 2013 </a>,Radial Velocity,2,125.94,0.435,4324,0.7,,5/14/14,BD-06 1339 c,,,2013,3,20.1
54,BD-08 2823,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>,Radial Velocity,2,5.6,0.056,4746,0.74,,5/14/14,BD-08 2823 b,,,2009,3,42.09
55,BD-08 2823,c,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..46H target=ref> H&eacute;brard et al. 2010 </a>,Radial Velocity,2,237.6,0.68,4746,0.74,,5/14/14,BD-08 2823 c,,,2009,3,42.09
56,BD-10 3166,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2006ApJ...646..505B target=ref> Butler et al. 2006 </a>,Radial Velocity,1,3.48777,0.0452,5393,1.01,,8/27/14,BD-10 3166 b,,,2000,3,80
57,BD-11 4672,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...576A..48M target=ref>Moutou et al. 2015</a>,Radial Velocity,1,1667,2.28,4475,0.571,0.52,1/8/15,BD-11 4672 b,,,2014,3,27.3
58,BD-13 2130,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2007A&A...472..657L target=ref> Lovis & Mayor 2007 </a>,Radial Velocity,1,714.3,2.1,,2.4,,5/14/15,BD-13 2130 b,,,2007,3,766
59,BD-17 63,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..513M target=ref> Moutou et al. 2009 </a>,Radial Velocity,1,655.6,1.34,4714,0.74,0.69,5/14/14,BD-17 63 b,,,2008,3,37.54
60,CFBDSIR J145829+101343,b,1,<a href=http://adsabs.harvard.edu/abs/2011ApJ...740..108L target=ref> Liu et al. 2011 </a>,Imaging,1,10037.5,2.6,580.5,0.021,,5/14/14,CFBDSIR J145829+101343 b,3337.1,,2011,3,23.1
61,CHXR 73,b,1,<a href=http://adsabs.harvard.edu/abs/2006ApJ...649..894L target=ref> Luhman et al. 2006 </a>,Imaging,1,,210,,0.35,,5/14/14,CHXR 73 b,3994.486,,2006,3,
62,CT Cha,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..311S target=ref> Schmidt et al. 2008 </a>,Imaging,1,,440,,,,5/14/14,CT Cha b,5403,24.66,2007,3,165
63,CoRoT-1,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...482L..17B target=ref> Barge et al. 2008 </a>,Transit,1,1.5089557,,5950,0.95,1.11,5/14/14,CoRoT-1 b,327.35,16.7,2008,3,
64,CoRoT-10,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...520A..65B target=ref> Bonomo et al. 2010 </a>,Transit,1,13.2406,0.1055,5075,0.89,0.79,5/14/14,CoRoT-10 b,874,10.87,2010,3,345
65,CoRoT-11,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...524A..55G target=ref> Gandolfi et al. 2010 </a>,Transit,1,2.99433,0.0436,6440,1.27,1.37,5/14/14,CoRoT-11 b,740.51,16.03,2010,3,560
66,CoRoT-12,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...520A..97G target=ref> Gillon et al. 2010 </a>,Transit,1,2.828042,0.04016,5675,1.078,1.12,5/14/14,CoRoT-12 b,291.438,16.14,2010,3,1150
67,CoRoT-13,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...522A.110C target=ref> Cabrera et al. 2010 </a>,Transit,1,4.03519,0.051,5945,1.09,1.01,5/14/14,CoRoT-13 b,415.704,9.92,2010,3,1060
68,CoRoT-14,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...528A..97T target=ref> Tingley et al. 2011 </a>,Transit,1,1.51214,0.027,6035,1.13,1.21,5/14/14,CoRoT-14 b,2415.4,12.22,2010,3,1340
69,CoRoT-16,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...541A.149O target=ref> Ollivier et al. 2012 </a>,Transit,1,5.35227,0.0618,5650,1.098,1.19,5/14/14,CoRoT-16 b,170.032,13.11,2011,3,840
70,CoRoT-17,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...531A..41C target=ref> Csizmadia et al. 2011 </a>,Transit,1,3.7681,0.0461,5740,1.04,1.59,5/14/14,CoRoT-17 b,772.29,11.43,2011,3,920
71,CoRoT-18,b,1,<a href=http://adsabs.harvard.edu/abs/2011A%26A...533A.130H target=ref> Hebrard et al. 2011 </a>,Transit,1,1.9000693,0.0295,5440,0.95,1,5/14/14,CoRoT-18 b,1102.82,14.68,2011,3,870
72,CoRoT-19,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...537A.136G target=ref> Guenther et al. 2012 </a>,Transit,1,3.89713,0.0518,6090,1.21,1.65,5/14/14,CoRoT-19 b,352.78,14.46,2011,3,770
73,CoRoT-2,b,1,<a href=http://adsabs.harvard.edu/abs/2010A&A...511A...3G target=ref> Gillon et al. 2010 </a>,Transit,1,1.7429935,0.02798,5625,0.96,0.91,5/14/14,CoRoT-2 b,1102.82,16.432,2008,3,200
74,CoRoT-20,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...538A.145D target=ref> Deleuil et al. 2012 </a>,Transit,1,9.24285,0.0902,5880,1.14,1.02,5/14/14,CoRoT-20 b,1347.54,9.42,2011,3,1230
75,CoRoT-22,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014MNRAS.444.2783M target=ref>Moutou et al. 2014</a>,Transit,1,9.75598,0.092,5939,1.099,1.14,8/21/14,CoRoT-22 b,12.2,4.88,2014,3,592
76,CoRoT-23,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...537A..54R target=ref> Rouan et al. 2012 </a>,Transit,1,3.6313,0.048,5900,1.14,1.61,5/14/14,CoRoT-23 b,889.9,11.77,2011,3,600
77,CoRoT-24,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>,Transit,2,5.1134,0.056,4950,0.91,0.86,6/11/14,CoRoT-24 b,5.7,3.7,2014,3,600
78,CoRoT-24,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...567A.112A target=ref> Alonso et al. 2014</a>,Transit,2,11.759,0.098,4950,0.91,0.86,6/11/14,CoRoT-24 c,28,5,2014,3,600
79,CoRoT-25,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...555A.118A target=ref> Almenara et al. 2013 </a>,Transit,1,4.86069,0.0578,6040,1.09,1.19,5/14/14,CoRoT-25 b,85.81,12.11,2013,3,1000
80,CoRoT-26,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...555A.118A target=ref> Almenara et al. 2013 </a>,Transit,1,4.20474,0.0526,5590,1.09,1.79,5/14/14,CoRoT-26 b,165.26,14.12,2013,3,1670
81,CoRoT-27,b,1,<a href=http://adsabs.harvard.edu/abs/2014A%26A...562A.140P target=ref> Parviainen et al. 2014 </a>,Transit,1,3.57532,0.0476,5900,1.05,1.08,5/14/14,CoRoT-27 b,3302.11,11.287,2014,3,
82,CoRoT-28,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...579A..36C target=ref>Cabrera et al. 2015</a>,Transit,1,5.20851,0.0603,5150,1.01,1.78,4/16/15,CoRoT-28 b,153.82972,10.705,2015,3,560
83,CoRoT-29,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015A&A...579A..36C target=ref>Cabrera et al. 2015</a>,Transit,1,2.85057,0.0386,5260,0.97,0.9,4/16/15,CoRoT-29 b,270.1555,10.088,2015,3,765
84,CoRoT-3,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...491..889D target=ref> Deleuil et al. 2008 </a>,Transit,1,4.2568,,6740,1.37,1.56,5/14/14,CoRoT-3 b,6883.91,11.32,2008,3,680
85,CoRoT-4,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008A&A...488L..47M target=ref> Moutou et al. 2008 </a>,Transit,1,9.20205,0.09,6190,1.16,1.17,5/14/14,CoRoT-4 b,228.83,13.34,2008,3,
86,CoRoT-5,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..281R target=ref> Rauer et al. 2009 </a>,Transit,1,4.0378962,0.04947,6100,1,1.19,5/14/14,CoRoT-5 b,148.42,15.558,2009,3,
87,CoRoT-6,b,1,<a href=http://adsabs.harvard.edu/abs/2010A%26A...512A..14F target=ref> Fridlund et al. 2010 </a>,Transit,1,8.886593,0.0855,6090,1.05,1.02,5/14/14,CoRoT-6 b,940.74,13.068,2009,3,
88,CoRoT-7,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...569A..74B target=ref>Barros et al. 2014</a>,Transit,2,0.85359159,0.017016,5259,0.913,0.82,3/5/15,CoRoT-7 b,5.74,1.585,2009,3,153.7
89,CoRoT-7,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...506..303Q target=ref> Queloz et al. 2009 </a>,Radial Velocity,2,3.698,0.046,,,,9/10/15,CoRoT-7 c,8.4,,2009,3,153.7
90,CoRoT-8,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010A%26A...520A..66B target=ref> Borde et al. 2010 </a>,Transit,1,6.21229,0.063,5080,0.88,0.77,5/14/14,CoRoT-8 b,69.92,6.39,2010,3,380
91,CoRoT-9,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010Natur.464..384D target=ref> Deeg et al. 2010 </a>,Transit,1,95.2738,0.407,5625,0.99,0.94,5/14/14,CoRoT-9 b,266.97,11.77,2009,3,460
92,DENIS-P J082303.1-491201,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.133S target=ref> Sahlmann et al. 2013 </a>,Astrometry,1,246.36,0.36,,0.075,,5/14/14,DENIS-P J082303.1-491201 b,9057.77,,2013,3,20.77
93,DH Tau,b,1,<a href=http://adsabs.harvard.edu/abs/2012A%26A...540A..85P target=ref> Patience et al. 2012 </a>,Imaging,1,,330,,0.33,0.27,5/14/14,DH Tau b,3496,,2004,3,140
94,DP Leo,b,1,<a href=http://adsabs.harvard.edu/abs/2011A&A...526A..53B target=ref> Beuermann et al. 2011 </a>,Eclipse Timing Variations,1,10220,8.19,,0.69,,5/14/14,DP Leo b,,,2009,3,
95,EPIC 211822797,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv160900726M target=ref>Mann et al. 2016</a>,Transit,1,21.169619,,3880,0.61,0.59,12/21/16,EPIC 211822797 b,,2.2,2016,3,181.5
96,EPIC 220674823,b,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv161100397A target=ref>Adams et al. 2017</a>,Transit,2,0.571308,,5590,0.93,0.83,1/26/17,EPIC 220674823 b,,1.46,2016,3,253
97,EPIC 220674823,c,1,<a href=http://adsabs.harvard.edu/abs/2016arXiv161100397A target=ref>Adams et al. 2017</a>,Transit,2,13.341245,,5590,0.93,0.83,1/26/17,EPIC 220674823 c,,2.53,2016,3,253
98,FU Tau,b,1,<a href=http://adsabs.harvard.edu/abs/2009ApJ...691.1265L target=ref> Luhman et al. 2009 </a>,Imaging,1,,800,2838,0.05,,3/10/16,FU Tau b,5085.28,,2008,3,140
99,Fomalhaut,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014A&A...561A..43B target=ref>Beust et al. 2014</a>,Imaging,1,555530,160,,,,11/19/15,Fomalhaut b,,,2008,3,7.69
100,GJ 1132,b,1,<a href=http://adsabs.harvard.edu/abs/2017AJ....153..191S target=ref>Southworth et al. 2017</a>,Transit,1,1.6289287,0.01533,,0.181,0.26,7/27/17,GJ 1132 b,1.63,1.43,2015,3,12.04
101,GJ 1214,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2013A&A...549A..10H target=ref>Harps&oslash;e et al. 2013</a>,Transit,1,1.58040456,0.01411,3026,0.15,0.22,12/3/15,GJ 1214 b,6.26125,2.847,2009,3,
102,GJ 15 A,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...794...51H target=ref>Howard et al. 2014</a>,Radial Velocity,1,11.4433,0.0717,3567,0.375,0.39,9/18/14,GJ 15 A b,,,2014,3,3.57
103,GJ 163,b,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>,Radial Velocity,3,8.63182,0.0607,,,,1/26/17,GJ 163 b,,,2013,3,14.97
104,GJ 163,c,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>,Radial Velocity,3,25.63058,0.1254,,,,1/26/17,GJ 163 c,,,2013,3,14.97
105,GJ 163,d,1,<a href=http://adsabs.harvard.edu/abs/2013A%26A...556A.110B target=ref> Bonfils et al. 2013 </a>,Radial Velocity,3,603.95116,1.0304,,,,1/26/17,GJ 163 d,,,2013,3,14.97
106,GJ 179,b,1,<a href=http://adsabs.harvard.edu/abs/2010ApJ...721.1467H target=ref> Howard et al. 2010 </a>,Radial Velocity,1,2288,2.41,3370,0.357,0.38,5/14/14,GJ 179 b,,,2009,3,12.12
107,GJ 273,b,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170305386A target=ref>Astudillo-Defru et al. 2017</a>,Radial Velocity,2,18.6498,0.091101,3382,0.29,0.29,3/30/17,GJ 273 b,,,2017,3,3.8
