rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
1835,Kepler-187,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,4.938864,0.059,6105,,1.29,5/14/14,Kepler-187 b,,1.41,2014,3,
1836,Kepler-187,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,10.640263,0.099,6105,,1.29,5/14/14,Kepler-187 c,,2.67,2014,3,
1837,Kepler-188,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,2.061897,0.032,6021,,1.14,5/14/14,Kepler-188 b,,1.68,2014,3,
1838,Kepler-188,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,5.996553,0.066,6021,,1.14,5/14/14,Kepler-188 c,,3.19,2014,3,
1839,Kepler-189,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,10.399931,0.088,5235,,0.75,5/14/14,Kepler-189 b,,1.21,2014,3,2119
1840,Kepler-189,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,20.134866,0.137,5235,,0.75,5/14/14,Kepler-189 c,,2.38,2014,3,2119
1841,Kepler-19,b,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170306885M target=ref>Malavolta et al. 2017</a>,Transit,3,9.28716,,5544,0.936,0.86,4/13/17,Kepler-19 b,8.4,,2011,3,2119
1842,Kepler-19,c,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170306885M target=ref>Malavolta et al. 2017</a>,Transit Timing Variations,3,28.731,,5544,0.936,0.86,4/13/17,Kepler-19 c,13.1,,2011,3,
1843,Kepler-19,d,1,<a href=http://adsabs.harvard.edu/abs/2017arXiv170306885M target=ref>Malavolta et al. 2017</a>,Radial Velocity,3,62.95,,5544,0.936,0.86,4/13/17,Kepler-19 d,22.5,,2017,3,
1844,Kepler-190,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,2.019999,0.03,5106,,0.8,5/14/14,Kepler-190 b,,1.56,2014,3,
